GeneID	GSM8122035	GSM8122036	GSM8122037	GSM8122038	GSM8122039	GSM8122040	GSM8122042	GSM8122043	GSM8122044	GSM8122045	GSM8122046	GSM8122047	GSM8122048	GSM8122049	GSM8122050
100287102	0.06365	0	0	0.08592	0.1205	0	0.05394	0.06356	0.07083	0.1656	0	0.3338	0.05723	0.1208	0
653635	31.3	17.48	9.95	13.64	22.85	14.52	16.52	13.3	27.12	16.34	23.22	35.62	11.73	13.01	12.95
102466751	40.21	31.43	17.26	22.96	30.75	24.8	26.21	16.99	48.18	29.5	34.01	33.46	16.68	16.63	22.73
107985730	0.2932	0.1419	0	0	0	0	0	0	0.2175	0	0	0	0	0	0
100302278	0.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0.1351	0.0649	0	0	0	0.07885	0.4646	0.1035	0.1614	0	0.366	0.04183	0.05888	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.376	0.6707	0.3896	0.29	0.651	0.6892	1.056	0.472	0.3108	0.708	0.405	0.4367	0.1545	0.5438	0.7322
729737	1.306	2.273	0.5627	3.345	2.437	5.237	7.292	4.815	1.774	1.816	1.851	3.438	3.376	3.367	2.4
102725121	0	0	0	0.1325	0.5576	0.2469	0	0	0	0.05674	0.137	0.4719	0.02941	0.2484	0
102723897	24.48	19.64	11.16	12.13	20.58	14.2	13.41	14.13	28.57	13.72	19.7	38.72	9.717	12.35	14.48
102465909	23.97	39.29	10.79	16.7	16.11	7.294	26.21	15.44	25.81	20.11	25.91	18.25	9.037	13.7	18.6
107985721	0.05829	0.02821	0	0	0	0	0	0	0	0	0	0	0.01747	0	0
112268260	0.1196	0.06947	0.07787	0.1076	0.2265	0.1354	0.0946	0.1752	0.07099	0.1521	0.08351	0.1778	0.0932	0.1615	0.2771
729759	0	0	0.0781	0.07558	0.106	0	0.09489	0	0	0	0	0.07342	0	0.1417	0.07482
100132287	2.707	3.86	1.712	4.612	6.653	4.495	7.116	12.37	2.329	2.733	2.495	11.72	2.109	4.11	3.682
105378947	0.06732	0.06516	0.1252	0.09087	0.255	0.2117	0.03803	0.08963	0	0.03892	0	0.05885	0.0807	0.1136	0.05997
101928626	0	0	0	0	0.2495	0	0	0	0	0	0	0.08639	0	0.08337	0
113219467	6801	3809	3035	2884	739	1635	2031	2152	1847	1980	1853	8289	3865	1839	2220
81399	0.02729	0.07924	0.1396	0.04911	0.1895	0.103	0.1387	0.1817	0	0.04733	0.05715	0.2385	0.01636	0.06906	0.1337
100133331	3.704	5.806	2.626	7.391	10.44	5.781	9.425	16.19	2.41	3.414	3.298	17.52	2.434	6.01	4.702
107984841	8.29	12.28	2.614	9.427	35.8	7.821	14.05	13.61	18.45	10.54	2.973	7.743	2.093	15.88	14.26
107984847	28.4	33.99	6.2	24.44	74.93	18.2	22.96	30.53	50.9	21.43	4.087	16.77	3.898	51.99	24.63
107984849	2.253	6.815	1.834	15.97	22.76	13.82	14	8.625	5.85	3.582	3.539	6.401	1.351	23.29	9.535
100288069	0.3451	2.283	1.605	1.812	5.374	3.69	5.524	1.149	0.7681	2.793	1.044	1.307	0.2069	2.863	4.766
105378580	0.2865	0.2228	0.1856	0.4973	0.4457	0.251	0.2948	0.2452	0.2277	0.3904	0.2572	0.3489	0.1656	0.4402	0.3008
400728	0	0.1963	0	0.2921	0.3073	0.3062	0.09167	0.05401	0.1806	0.09381	0.05664	0.07092	0.04863	0.2053	0.1084
79854	2.874	2.608	0.9467	1.455	2.722	0.8286	1.218	2.153	1.51	3.323	1.505	2.513	0.2153	1.667	1.814
643837	2.164	1.703	1.89	2.544	3.979	2.396	2.326	5.584	2.712	2.647	1.789	4.136	2.493	5.354	3.188
107984850	0.2999	0.0311	0.02989	0	0	0	0	0.3851	0	0.03716	0	0.1405	0	0	0
284593	0.03082	0	0	0	0.1167	0.1744	0.1045	0.06155	0	0.05345	0	0	0	0.312	0.08237
284600	5.751	3.265	0	0.0184	4.052	0.1029	0.0231	0.2994	8.219	1.253	0.1427	0.1787	0.03676	1.017	2.477
100130417	1.92	3.903	1.364	2.686	2.182	6.06	2.012	0.6972	3.185	1.332	5.118	0.2747	1.004	0.751	1.959
