SampleID,Condition
GSM8122035,Control_rep1 [21120D1]
GSM8122036,Control_rep2 [21124D1]
GSM8122037,Control_rep3 [22068D1]
GSM8122038,Control_rep4 [22085D1]
GSM8122039,Control_rep5 [22113D1]
GSM8122040,Control_rep6 [22114D1]
GSM8122041,NAFL_rep1 [21149D1]
GSM8122042,NAFL_rep2 [21151D1]
GSM8122043,NAFL_rep3 [22105D1]
GSM8122044,NAFL_rep4 [22120D1]
GSM8122045,NAFL_rep5 [22123D1]
GSM8122046,NAFL_rep6 [22130D1]
GSM8122047,NASH_rep1 [22054D1]
GSM8122048,NASH_rep2 [22092D1]
GSM8122049,NASH_rep3 [22093D1]
GSM8122050,NASH_rep4 [22095D1]
